ax = -0.518, ay = 0.01, az = 0.821, brake = False
ax = -0.52, ay = 0.005, az = 0.826, brake = False
ax = -0.52, ay = 0.005, az = 0.826, brake = False
ax = -0.518, ay = -0.003, az = 0.822, brake = False
ax = -0.518, ay = -0.003, az = 0.822, brake = False
ax = -0.518, ay = -0.008, az = 0.823, brake = False
ax = -0.519, ay = -0.011, az = 0.817, brake = False
ax = -0.519, ay = -0.011, az = 0.817, brake = False
ax = -0.52, ay = -0.011, az = 0.816, brake = False
ax = -0.52, ay = -0.011, az = 0.816, brake = False
ax = -0.523, ay = -0.007, az = 0.814, brake = False
ax = -0.526, ay = -0.001, az = 0.813, brake = False
ax = -0.526, ay = -0.001, az = 0.813, brake = False
ax = -0.529, ay = 0.003, az = 0.818, brake = False
ax = -0.529, ay = 0.003, az = 0.818, brake = False
ax = -0.53, ay = 0.01, az = 0.817, brake = False
ax = -0.53, ay = 0.01, az = 0.817, brake = False
ax = -0.529, ay = 0.012, az = 0.817, brake = False
ax = -0.526, ay = 0.016, az = 0.819, brake = False
ax = -0.526, ay = 0.016, az = 0.819, brake = False
ax = -0.522, ay = 0.016, az = 0.82, brake = False
ax = -0.522, ay = 0.016, az = 0.82, brake = False
ax = -0.519, ay = 0.018, az = 0.816, brake = False
ax = -0.519, ay = 0.022, az = 0.821, brake = False
ax = -0.519, ay = 0.022, az = 0.821, brake = False
ax = -0.521, ay = 0.025, az = 0.82, brake = False
ax = -0.521, ay = 0.025, az = 0.82, brake = False
ax = -0.524, ay = 0.031, az = 0.82, brake = False
ax = -0.524, ay = 0.039, az = 0.817, brake = False
ax = -0.524, ay = 0.039, az = 0.817, brake = False
ax = -0.526, ay = 0.045, az = 0.818, brake = False
ax = -0.526, ay = 0.045, az = 0.818, brake = False
ax = -0.526, ay = 0.049, az = 0.814, brake = False
ax = -0.528, ay = 0.05, az = 0.815, brake = False
ax = -0.528, ay = 0.05, az = 0.815, brake = False
ax = -0.526, ay = 0.05, az = 0.812, brake = False
ax = -0.526, ay = 0.05, az = 0.812, brake = False
ax = -0.526, ay = 0.043, az = 0.804, brake = False
ax = -0.526, ay = 0.043, az = 0.804, brake = False
ax = -0.522, ay = 0.039, az = 0.809, brake = False
ax = -0.526, ay = 0.04, az = 0.806, brake = False
ax = -0.526, ay = 0.04, az = 0.806, brake = False
ax = -0.525, ay = 0.049, az = 0.815, brake = False
ax = -0.525, ay = 0.049, az = 0.815, brake = False
ax = -0.528, ay = 0.058, az = 0.82, brake = False
ax = -0.529, ay = 0.071, az = 0.815, brake = False
ax = -0.529, ay = 0.071, az = 0.815, brake = False
ax = -0.527, ay = 0.078, az = 0.815, brake = False
ax = -0.527, ay = 0.078, az = 0.815, brake = False
ax = -0.529, ay = 0.084, az = 0.816, brake = False
ax = -0.524, ay = 0.087, az = 0.815, brake = False
ax = -0.524, ay = 0.087, az = 0.815, brake = False
ax = -0.521, ay = 0.087, az = 0.814, brake = False
ax = -0.521, ay = 0.087, az = 0.814, brake = False
ax = -0.52, ay = 0.088, az = 0.812, brake = False
ax = -0.52, ay = 0.086, az = 0.812, brake = False
ax = -0.52, ay = 0.086, az = 0.812, brake = False
ax = -0.52, ay = 0.079, az = 0.814, brake = False
ax = -0.52, ay = 0.079, az = 0.814, brake = False
ax = -0.523, ay = 0.074, az = 0.814, brake = False
ax = -0.523, ay = 0.074, az = 0.814, brake = False
ax = -0.527, ay = 0.07, az = 0.813, brake = False
ax = -0.531, ay = 0.067, az = 0.809, brake = False
ax = -0.531, ay = 0.067, az = 0.809, brake = False
ax = -0.531, ay = 0.068, az = 0.803, brake = False
ax = -0.531, ay = 0.068, az = 0.803, brake = False
ax = -0.532, ay = 0.072, az = 0.808, brake = False
ax = -0.53, ay = 0.077, az = 0.807, brake = False
ax = -0.53, ay = 0.077, az = 0.807, brake = False
ax = -0.53, ay = 0.081, az = 0.811, brake = False
ax = -0.53, ay = 0.081, az = 0.811, brake = False
ax = -0.526, ay = 0.086, az = 0.817, brake = False
ax = -0.527, ay = 0.093, az = 0.818, brake = False
ax = -0.527, ay = 0.093, az = 0.818, brake = False
ax = -0.527, ay = 0.097, az = 0.818, brake = False
ax = -0.527, ay = 0.097, az = 0.818, brake = False
ax = -0.526, ay = 0.097, az = 0.822, brake = False
ax = -0.521, ay = 0.088, az = 0.818, brake = False
ax = -0.521, ay = 0.088, az = 0.818, brake = False
ax = -0.519, ay = 0.076, az = 0.816, brake = False
ax = -0.519, ay = 0.076, az = 0.816, brake = False
ax = -0.519, ay = 0.063, az = 0.815, brake = False
ax = -0.519, ay = 0.063, az = 0.815, brake = False
ax = -0.523, ay = 0.051, az = 0.818, brake = False
ax = -0.527, ay = 0.042, az = 0.819, brake = False
ax = -0.527, ay = 0.042, az = 0.819, brake = False
ax = -0.531, ay = 0.038, az = 0.819, brake = False
ax = -0.531, ay = 0.038, az = 0.819, brake = False
ax = -0.535, ay = 0.037, az = 0.813, brake = False
ax = -0.532, ay = 0.04, az = 0.811, brake = False
ax = -0.532, ay = 0.04, az = 0.811, brake = False
ax = -0.53, ay = 0.041, az = 0.812, brake = False
ax = -0.53, ay = 0.041, az = 0.812, brake = False
ax = -0.528, ay = 0.044, az = 0.817, brake = False
ax = -0.525, ay = 0.047, az = 0.823, brake = False
ax = -0.525, ay = 0.047, az = 0.823, brake = False
ax = -0.523, ay = 0.046, az = 0.828, brake = False
ax = -0.523, ay = 0.046, az = 0.828, brake = False
ax = -0.52, ay = 0.04, az = 0.83, brake = False
ax = -0.515, ay = 0.025, az = 0.834, brake = False
ax = -0.515, ay = 0.025, az = 0.834, brake = False
ax = -0.51, ay = 0.008, az = 0.834, brake = False
ax = -0.51, ay = 0.008, az = 0.834, brake = False
ax = -0.51, ay = -0.004, az = 0.828, brake = False
ax = -0.513, ay = -0.01, az = 0.824, brake = False
ax = -0.513, ay = -0.01, az = 0.824, brake = False
ax = -0.519, ay = -0.009, az = 0.82, brake = False
ax = -0.519, ay = -0.009, az = 0.82, brake = False
ax = -0.524, ay = -0.001, az = 0.819, brake = False
ax = -0.524, ay = -0.001, az = 0.819, brake = False
ax = -0.525, ay = 0.011, az = 0.816, brake = False
ax = -0.526, ay = 0.032, az = 0.818, brake = False
ax = -0.526, ay = 0.032, az = 0.818, brake = False
ax = -0.525, ay = 0.052, az = 0.814, brake = False
ax = -0.525, ay = 0.052, az = 0.814, brake = False
ax = -0.524, ay = 0.071, az = 0.813, brake = False
ax = -0.526, ay = 0.088, az = 0.81, brake = False
ax = -0.526, ay = 0.088, az = 0.81, brake = False
ax = -0.525, ay = 0.094, az = 0.809, brake = False
ax = -0.525, ay = 0.094, az = 0.809, brake = False
ax = -0.53, ay = 0.09, az = 0.807, brake = False
ax = -0.535, ay = 0.079, az = 0.807, brake = False
ax = -0.535, ay = 0.079, az = 0.807, brake = False
ax = -0.534, ay = 0.066, az = 0.81, brake = False
ax = -0.534, ay = 0.066, az = 0.81, brake = False
ax = -0.532, ay = 0.048, az = 0.812, brake = False
ax = -0.532, ay = 0.048, az = 0.812, brake = False
ax = -0.527, ay = 0.034, az = 0.813, brake = False
ax = -0.523, ay = 0.027, az = 0.814, brake = False
ax = -0.523, ay = 0.027, az = 0.814, brake = False
ax = -0.519, ay = 0.021, az = 0.82, brake = False
ax = -0.519, ay = 0.021, az = 0.82, brake = False
ax = -0.518, ay = 0.017, az = 0.824, brake = False
ax = -0.518, ay = 0.015, az = 0.82, brake = False
ax = -0.518, ay = 0.015, az = 0.82, brake = False
ax = -0.519, ay = 0.02, az = 0.821, brake = False
ax = -0.519, ay = 0.02, az = 0.821, brake = False
ax = -0.521, ay = 0.026, az = 0.824, brake = False
ax = -0.524, ay = 0.036, az = 0.826, brake = False
ax = -0.524, ay = 0.036, az = 0.826, brake = False
ax = -0.526, ay = 0.053, az = 0.816, brake = False
ax = -0.526, ay = 0.053, az = 0.816, brake = False
ax = -0.531, ay = 0.071, az = 0.805, brake = False
ax = -0.533, ay = 0.08, az = 0.801, brake = False
ax = -0.533, ay = 0.08, az = 0.801, brake = False
ax = -0.534, ay = 0.082, az = 0.803, brake = False
