ax = -0.561, ay = 0.088, az = 0.756, diff = -0.14100000000000001 brake = False
ax = -0.584, ay = 0.111, az = 0.761, diff = -0.16399999999999992 brake = False
ax = -0.584, ay = 0.111, az = 0.761, diff = -0.16399999999999992 brake = False
ax = -0.603, ay = 0.137, az = 0.784, diff = -0.18299999999999994 brake = False
ax = -0.603, ay = 0.137, az = 0.784, diff = -0.18299999999999994 brake = False
ax = -0.597, ay = 0.157, az = 0.781, diff = -0.17699999999999994 brake = False
ax = -0.597, ay = 0.157, az = 0.781, diff = -0.17699999999999994 brake = False
ax = -0.589, ay = 0.158, az = 0.797, diff = -0.05152380952380953 brake = False
ax = -0.593, ay = 0.16, az = 0.789, diff = -0.05552380952380953 brake = False
ax = -0.593, ay = 0.16, az = 0.789, diff = -0.05552380952380953 brake = False
ax = -0.577, ay = 0.149, az = 0.795, diff = -0.03952380952380952 brake = False
ax = -0.577, ay = 0.149, az = 0.795, diff = -0.03952380952380952 brake = False
ax = -0.59, ay = 0.146, az = 0.786, diff = -0.05252380952380953 brake = False
ax = -0.592, ay = 0.128, az = 0.785, diff = -0.05452380952380953 brake = False
ax = -0.592, ay = 0.128, az = 0.785, diff = -0.05452380952380953 brake = False
ax = -0.613, ay = 0.103, az = 0.782, diff = -0.07552380952380955 brake = False
ax = -0.613, ay = 0.103, az = 0.782, diff = -0.07552380952380955 brake = False
ax = -0.595, ay = 0.067, az = 0.795, diff = -0.05752380952380953 brake = False
ax = -0.574, ay = 0.024, az = 0.785, diff = -0.036523809523809514 brake = False
ax = -0.574, ay = 0.024, az = 0.785, diff = -0.036523809523809514 brake = False
ax = -0.545, ay = -0.006, az = 0.786, diff = -0.007523809523809599 brake = False
ax = -0.545, ay = -0.006, az = 0.786, diff = -0.007523809523809599 brake = False
ax = -0.519, ay = -0.033, az = 0.808, diff = 0.018476190476190424 brake = False
ax = -0.51, ay = -0.046, az = 0.816, diff = 0.027476190476190432 brake = False
ax = -0.51, ay = -0.046, az = 0.816, diff = 0.027476190476190432 brake = False
ax = -0.505, ay = -0.06, az = 0.83, diff = 0.032476190476190436 brake = False
ax = -0.505, ay = -0.06, az = 0.83, diff = 0.032476190476190436 brake = False
ax = -0.502, ay = -0.064, az = 0.853, diff = 0.03547619047619044 brake = False
ax = -0.495, ay = -0.056, az = 0.846, diff = 0.06304761904761913 brake = False
ax = -0.495, ay = -0.056, az = 0.846, diff = 0.06304761904761913 brake = False
ax = -0.512, ay = -0.058, az = 0.834, diff = 0.046047619047619115 brake = False
ax = -0.512, ay = -0.058, az = 0.834, diff = 0.046047619047619115 brake = False
