dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 29, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 30, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 31, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 32, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 33, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 34, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 35, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 36, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 37, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 38, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 39, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 40, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 41, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 42, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 43, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 44, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 45, l_cnt = 49, r_cnt = 0, direction = straight
dx = -8.550588235294413, dy = 8.586666666666247,  s_cnt = 46, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 47, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 48, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 49, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 50, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 51, l_cnt = 49, r_cnt = 0, direction = straight
dx = -11.310588235294404, dy = 5.826666666666256,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.9584313725489437, dy = -2.759999999999991,  s_cnt = 2, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.9584313725489437, dy = -2.759999999999991,  s_cnt = 3, l_cnt = 0, r_cnt = 0, direction = straight
dx = -2.9584313725489437, dy = -2.759999999999991,  s_cnt = 4, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 5, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 6, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 7, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 8, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 9, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 10, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 11, l_cnt = 0, r_cnt = 0, direction = straight
dx = -4.798431372548976, dy = -3.67999999999995,  s_cnt = 12, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 13, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 14, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 15, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 16, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 17, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 18, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 19, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 20, l_cnt = 0, r_cnt = 0, direction = straight
dx = -6.6384313725489505, dy = -3.67999999999995,  s_cnt = 21, l_cnt = 0, r_cnt = 0, direction = straight
